Date,CPI
1977-05,103
1977-06,104.04
1977-07,107.77
1977-08,110.51
1977-09,112.03
1977-10,119.3
1977-11,120.54
1977-12,120.22
1978-01,122.41
1978-02,124.58
1978-03,124.89
1978-04,127.26
1978-05,136.11
1978-06,136.54
1978-07,137.79
1978-08,138.21
1978-09,145.49
1978-10,156.7
1978-11,158.25
1978-12,159.18
1979-01,171.47
1979-02,175.2
1979-03,180.18
1979-04,189.27
1979-05,191.6
1979-06,215.78
1979-07,224.9
1979-08,236.01
1979-09,251.9
1979-10,263.52
1979-11,275.37
1979-12,282.8
1980-01,328.11
1980-02,362.72
1980-03,366.12
1980-04,367.06
1980-05,379.3
1980-06,433.64
1980-07,434.98
1980-08,449.1
1980-09,474.29
1980-10,499.01
1980-11,531.93
1980-12,545.73
1981-01,570.71
1981-02,592.96
1981-03,604.2
1981-04,577.23
1981-05,594.48
1981-06,619.12
1981-07,614.28
1981-08,665.36
1981-09,691.77
1981-10,739.99
1981-11,806.89
1981-12,779.55
1982-01,793.52
1982-02,827.56
1982-03,787.65
1982-04,790.34
1982-05,834.98
1982-06,861.35
1982-07,862.25
1982-08,915.19
1982-09,944.82
1982-10,996.11
1982-11,1012.21
1982-12,1038.32
1983-01,1089.3
1983-02,1104.8
1983-03,1129.03
1983-04,1131.96
1983-05,1146.63
1983-06,1171.47
1983-07,1180.59
1983-08,1207.44
1983-09,1228.2
1983-10,1284.21
1983-11,1337.32
1983-12,1389.56
1984-01,1520.53
1984-02,1545.24
1984-03,1572.36
1984-04,1621.65
1984-05,1705.66
1984-06,1784.3
1984-07,1816.59
1984-08,1864.07
1984-09,1926.95
1984-10,2047.55
1984-11,2201.96
1984-12,2372.29
1985-01,2375.26
1985-02,2432.14
1985-03,2512.42
1985-04,2583.12
1985-05,2662.89
1985-06,2694.01
1985-07,2757.85
1985-08,3369.4
1985-09,3504.47
1985-10,3610.83
1985-11,3505.57
1985-12,3393.22
1986-01,3633.98
1986-02,3784.71
1986-03,4038.3
1986-04,4042.96
1986-05,4095.18
1986-06,4108.11
1986-07,4470.73
1986-08,4630.85
1986-09,4637.71
1986-10,4710.14
1986-11,4800.7
1986-12,5024.91
1987-01,5184.71
1987-02,5247.74
1987-03,5479.47
1987-04,5527.37
1987-05,5595.38
1987-06,5885.01
1987-07,5996.22
1987-08,6018.46
1987-09,6252.57
1987-10,6760.73
1987-11,6954.49
1987-12,7185.97
1988-01,7766.59
1988-02,8413.66
1988-03,8918.5
1988-04,9096
1988-05,9236.12
1988-06,9445.95
1988-07,9804.53
1988-08,10400.25
1988-09,10643.13
1988-10,11033.33
1988-11,11343.77
1988-12,11682.23
1989-01,12349.08
1989-02,13326.37
1989-03,13605.9
1989-04,14110.36
1989-05,14496.96
1989-06,14622.72
1989-07,15515.93
1989-08,16405.56
1989-09,16557.19
1989-10,16818.75
1989-11,17284.52
1989-12,17734.96
1990-01,18876.82
1990-02,20730.08
1990-03,21427.83
1990-04,22172.3
1990-05,22754.36
1990-06,23449.24
1990-07,24019.81
1990-08,26778.51
1990-09,28054.73
1990-10,28726.62
1990-11,29374.07
1990-12,30045.24
1991-01,31045.53
1991-02,31976.11
1991-03,33253.77
1991-04,34614.8
1991-05,35448.36
1991-06,37201.74
1991-07,38092.08
1991-08,38809.96
1991-09,40518.06
1991-10,41782.07
1991-11,42818.3
1991-12,43965.89
1992-01,47227.6
1992-02,52002.68
1992-03,53765.4
1992-04,55197.55
1992-05,56330.78
1992-06,57373.47
1992-07,59186.48
1992-08,61136.75
1992-09,63400.34
1992-10,66012.44
1992-11,68550.52
1992-12,71827.32
1993-01,75368.56
1993-02,80533.11
1993-03,84656.42
1993-04,86552.8
1993-05,87877.17
1993-06,90030.81
1993-07,94471.01
1993-08,98978.76
1993-09,100890.96
1993-10,103441.97
1993-11,108365.78
1993-12,115756.55
1994-01,121335.73
1994-02,132390.63
1994-03,161586.49
1994-04,193119.22
1994-05,242373.25
1994-06,250536.52
1994-07,262350.26
1994-08,288565.36
1994-09,308050.82
1994-10,323109.01
1994-11,339038.88
1994-12,364639.6
1995-01,399411.77
1995-02,426709.81
1995-03,459197.56
1995-04,464405.23
1995-05,472700.71
1995-06,479903.93
1995-07,513000.32
1995-08,548981.17
1995-09,583841.72
1995-10,597380.09
1995-11,609667.37
1995-12,627724.98
1996-01,670062.53
1996-02,713973.09
1996-03,744161.33
1996-04,771731.73
1996-05,819783.56
1996-06,857175.73
1996-07,929625.35
1996-08,1009465.74
1996-09,1048283.61
1996-10,1088935.33
1996-11,1129336.99
1996-12,1177255.16
1997-01,1238357.42
1997-02,1342478.47
1997-03,1462548.77
1997-04,1519522.69
1997-05,1563454.09
1997-06,1580555.26
1997-07,1644428.43
1997-08,1775843.93
1997-09,1843810.94
1997-10,1936300.07
1997-11,2044192.31
1997-12,2138773.27
1998-01,2238086.18
1998-02,2419211.32
1998-03,2544132.86
1998-04,2660776.17
1998-05,2764034.18
1998-06,2840303.86
1998-07,2924099.4
1998-08,3076696.26
1998-09,3272986.65
1998-10,3338049.1
1998-11,3445106.33
1998-12,3560918.94
1999-01,3733658.06
1999-02,3900787.08
1999-03,4113752.51
1999-04,4232569.58
1999-05,4308956.39
1999-06,4409315.58
1999-07,4495810.89
1999-08,4774027.04
1999-09,5089043.24
1999-10,5251315.27
1999-11,5347577.03
1999-12,5530157.32
2000-01,5769484.46
2000-02,6119014.85
2000-03,6446392.35
2000-04,6624181.76
2000-05,6693399.85
2000-06,6930594.2
2000-07,7311208.92
2000-08,7678838.6
2000-09,7903446.01
2000-10,8096753.51
2000-11,8248633.2
2000-12,8474152.51
2001-01,8694480.47
2001-02,8981398.33
2001-03,9610096.21
2001-04,11080440.93
2001-05,11412854.16
2001-06,11812304.06
2001-07,12154860.87
2001-08,12786913.64
2001-09,13541341.54
2001-10,14340280.7
2001-11,14584065.47
2001-12,15007003.37
2002-01,15277129.43
2002-02,15582672.01
2002-03,15941073.47
2002-04,16100484.21
2002-05,16100484.21
2002-06,16229288.08
2002-07,16699937.43
2002-08,17267735.31
2002-09,17526751.34
2002-10,18105134.13
2002-11,18286185.47
2002-12,18670195.37
2003-01,19304982.01
2003-02,19787606.56
2003-03,20163571.08
2003-04,20526515.36
2003-05,21101257.79
2003-06,20383815.03
2003-07,19976138.73
2003-08,20016091.01
2003-09,20376380.64
2003-10,20702402.73
2003-11,20868021.96
2003-12,21034966.13
2004-01,21182210.89
2004-02,21097482.05
2004-03,21413944.28
2004-04,21542427.95
2004-05,22016361.36
2004-06,21928295.92
2004-07,21928295.92
2004-08,22410718.43
2004-09,22814111.36
2004-10,23201951.25
2004-11,23341162.96
2004-12,23481209.94
2005-01,23269879.05
2005-02,23269879.05
2005-03,23269879.05
2005-04,23595657.35
2005-05,23454083.41
2005-06,23383721.16
2005-07,23430488.6
2005-08,23594502.02
2005-09,23948419.55
2005-10,24068161.65
2005-11,24020025.33
2005-12,24116105.43
2006-01,24357266.48
2006-02,24284194.68
2006-03,24721310.19
2006-04,25141572.46
2006-05,25644403.91
2006-06,26157291.99
2006-07,26575808.66
2006-08,27133900.64
2006-09,27947917.66
2006-10,28590719.77
2006-11,28705082.65
2006-12,28733787.73
2007-01,29107326.97
2007-02,29311078.26
2007-03,29731303.29
2007-04,29939422.42
2007-05,29969361.84
2007-06,29729606.95
2007-07,29789066.16
2007-08,30444425.61
2007-09,30931536.42
2007-10,31395509.47
2007-11,31301322.94
2007-12,31426528.23
2008-01,31929352.69
2008-02,32120928.8
2008-03,32634863.66
2008-04,33418100.39
2008-05,33919371.9
2008-06,34496001.22
2008-07,35047937.24
2008-08,34977841.36
2008-09,35922243.08
2008-10,36353310
2008-11,36607783.17
2008-12,36022058.64
2009-01,35986036.58
2009-02,36022022.61
2009-03,36382242.84
2009-04,36418625.08
2009-05,36892067.21
2009-06,37150311.68
2009-07,36295854.51
2009-08,36912884.04
2009-09,37171274.23
2009-10,37728843.34
2009-11,38143860.62
2009-12,38029429.04
2010-01,37926749.58
2010-02,37907786.2
2010-03,38025300.34
2010-04,38295279.97
